Num_CIN Analyse Algèbre Physique Chimie Informatique STA Français Anglais
000135 15.48 13.91 16.08 12.47 14.92 12.85 9.86 13.27
000136 14.81 5.87 16.45 14.01 8.17 14.45 16.24 17.49
000137 13.0 15.46 0.83 11.78 10.0 12.2 8.26 11.34
000138 8.62 8.68 10.87 14.29 11.91 13.22 13.86 10.49
000139 10.53 17.67 8.97 16.44 10.72 8.6 10.0 18.45
000140 15.99 9.47 16.66 15.57 11.58 14.79 10.17 11.01
000141 2.61 4.73 13.66 1.06 8.42 14.66 17.19 11.51
000142 8.89 11.88 17.12 12.05 8.46 9.7 11.54 10.68
000143 15.83 9.99 9.84 14.83 10.11 17.15 8.12 16.39
000144 1.83 10.05 12.82 16.06 9.91 9.15 13.24 5.55
000145 14.73 19.12 12.8 8.26 12.98 10.55 12.04 11.18
000146 10.01 8.15 9.63 12.33 16.68 11.75 14.51 18.25
000147 17.64 13.63 11.94 15.24 11.28 9.57 12.94 4.61
000148 17.06 13.59 14.35 11.83 8.55 11.89 16.15 13.98
000149 16.27 12.63 12.71 14.6 0.25 8.45 19.55 8.47
000150 15.78 17.64 17.66 10.06 14.74 13.59 14.73 12.14
000151 12.66 13.93 11.68 6.81 11.71 14.67 13.27 16.41
000152 14.47 9.18 12.44 19.34 15.25 0.46 13.54 14.99
000153 8.1 9.16 8.93 11.13 17.75 14.77 9.62 9.52
000154 7.68 9.14 15.35 10.57 13.8 10.5 3.89 3.55
000155 16.3 1.5 16.72 9.82 8.4 4.73 14.68 15.61
000156 2.66 12.47 0.71 12.13 14.33 10.04 16.75 15.63
000157 9.78 10.02 4.95 8.11 15.66 17.34 16.66 8.31
000158 6.21 16.29 15.33 13.73 15.8 16.54 17.78 12.17
000159 15.51 10.33 11.4 11.34 15.68 10.97 17.75 10.63
000160 0.11 17.77 8.06 13.09 12.39 16.84 12.27 10.9
000161 1.28 13.71 8.77 15.46 14.74 9.39 1.27 8.93
000162 9.91 7.88 7.16 9.39 13.99 16.61 12.4 13.24
000163 14.77 14.74 13.65 11.05 5.8 5.8 12.1 16.03
000164 11.79 12.75 10.75 3.32 5.18 9.96 15.6 10.19
000165 8.06 8.09 12.21 17.96 9.85 7.44 12.32 11.78
000166 9.63 4.59 16.33 2.7 3.59 9.87 12.25 8.97
000167 12.97 18.02 14.23 18.95 1.11 11.85 6.38 12.13
000168 3.13 9.81 8.13 17.94 11.15 17.28 10.8 0.5
000169 9.05 13.46 11.41 11.55 4.24 13.01 9.62 13.97
000170 12.72 12.29 3.24 15.02 10.57 17.9 13.7 13.27
000171 14.66 10.25 10.6 10.44 11.65 17.71 12.95 10.84
000172 8.13 15.84 1.65 11.17 11.54 17.77 17.34 12.95
000173 13.3 1.25 14.54 17.66 17.38 17.53 17.17 12.32
000174 7.75 16.43 8.1 16.69 8.92 17.0 8.03 19.22
000175 8.07 16.74 14.9 11.25 10.13 15.79 9.97 13.77
000176 9.91 14.58 13.27 9.32 14.91 13.27 12.92 9.07
000177 13.69 7.57 13.45 8.06 12.42 19.57 12.67 8.65
000178 13.11 15.16 10.8 7.11 16.36 15.4 16.0 9.52
000179 15.32 10.15 12.7 11.18 11.13 16.39 11.74 9.05
000180 19.4 10.59 18.75 11.55 13.83 13.49 16.34 9.31
000181 17.14 13.44 0.69 1.57 8.39 10.34 19.73 17.12
000182 3.97 12.49 11.87 7.22 16.2 15.17 5.42 9.08
000183 18.7 12.63 17.56 16.62 11.84 13.0 12.77 9.1
000184 5.78 14.33 1.03 8.24 10.59 15.08 17.92 12.11
000185 13.09 11.01 15.73 11.29 0.79 3.42 9.34 12.37
000186 17.64 2.92 14.72 15.97 13.57 15.45 10.46 8.81
000187 14.11 17.95 11.31 2.09 11.38 1.27 11.3 15.18
000188 5.17 9.77 15.25 9.38 17.52 10.8 10.91 16.54
000189 7.69 10.65 11.4 8.07 16.31 11.12 10.47 8.95
000190 10.51 12.32 3.48 16.87 1.82 9.49 16.56 9.58
000191 17.28 12.17 12.29 11.13 16.78 10.41 9.93 11.32
000192 10.56 15.33 3.27 9.82 6.07 8.61 9.4 5.36
000193 17.67 0.8 8.69 12.15 5.62 1.34 8.65 15.25
000194 8.19 12.9 12.36 1.92 12.17 8.08 8.43 12.66
000195 17.08 17.72 11.78 8.37 11.65 16.69 15.28 10.12
000196 17.31 16.15 15.25 12.41 12.33 13.8 13.75 9.22
000197 15.43 12.57 9.66 11.62 0.58 15.82 8.15 17.26
000198 16.22 13.41 9.02 2.31 8.82 12.98 8.03 13.92
000199 9.08 15.65 8.55 13.77 12.39 11.1 16.58 2.45
000200 16.4 0.19 14.0 15.89 14.99 8.35 19.12 9.4
000201 8.47 7.28 15.3 14.71 12.76 9.97 16.8 17.51
000202 9.5 13.79 10.33 11.58 9.19 13.56 16.21 17.45
000203 12.1 14.57 10.33 9.77 10.37 0.15 15.34 10.0
000204 13.26 12.15 17.35 11.08 15.09 9.48 16.21 19.82
000205 12.24 4.67 15.96 17.23 10.76 17.14 15.84 14.63
000206 14.38 8.34 13.44 12.82 17.08 8.53 18.57 15.53
000207 13.46 16.26 15.83 14.75 9.14 9.05 17.76 16.94
000208 8.73 13.46 14.13 11.43 9.44 16.56 8.17 14.68
000209 6.84 15.0 15.21 11.53 16.67 10.05 8.91 2.39
000210 8.78 0.8 11.22 18.48 1.84 11.13 14.21 14.87
000211 11.42 16.56 11.97 10.35 11.01 17.8 16.81 10.83
000212 11.77 13.34 11.77 17.17 15.54 10.01 14.94 16.23
000213 15.55 13.76 1.29 9.35 10.61 11.9 14.08 12.72
000214 9.49 16.85 13.22 12.32 12.09 18.76 13.26 15.97
000215 5.36 12.1 10.21 10.0 8.4 9.08 8.8 0.33
000216 14.46 13.37 11.16 12.89 11.67 17.44 14.8 16.46
000217 12.88 12.61 14.19 12.29 11.88 10.37 8.05 14.85
000218 15.24 10.53 13.87 6.41 17.22 17.75 12.06 0.77
000219 10.49 8.71 14.25 16.63 12.39 11.68 13.42 16.92
000220 13.32 11.58 11.69 13.95 1.51 8.88 14.42 15.65
000221 8.26 8.02 15.94 8.97 14.93 0.43 8.8 17.13
000222 13.26 13.69 10.82 10.29 2.92 9.6 15.66 13.97
000223 9.51 8.89 10.69 16.95 16.49 17.35 9.71 15.95
000224 1.36 17.35 4.44 11.7 19.54 16.48 19.37 10.81
000225 9.62 12.84 10.92 14.91 5.81 15.25 10.93 10.07
000226 9.08 10.43 17.07 17.93 15.48 1.92 10.36 17.35
000227 17.72 16.09 10.11 12.46 9.87 17.51 10.69 14.02
000228 13.71 14.32 13.34 9.84 3.07 13.03 17.04 16.97
000229 16.7 12.48 13.98 15.87 6.79 12.26 2.38 17.97
000230 10.11 10.48 15.07 16.66 11.98 3.47 10.66 15.21
000231 9.17 12.47 16.95 13.69 14.18 15.16 13.74 16.28
000232 7.07 11.01 2.46 11.99 15.87 12.87 9.18 11.01
000233 5.9 11.28 8.67 11.59 11.08 5.2 11.63 17.24
000234 3.7 17.11 10.27 14.61 17.14 9.15 12.25 18.31
000235 15.57 10.11 11.83 10.66 11.9 15.97 16.21 14.59
000236 7.66 17.52 8.62 11.55 17.38 8.68 13.18 1.89
000237 15.96 15.71 8.09 11.5 16.16 16.5 3.21 14.35
000238 19.6 12.22 13.02 1.12 13.95 16.3 10.95 9.65
000239 11.25 9.34 11.51 11.66 14.69 13.7 12.27 3.88
000240 13.22 11.7 15.55 16.9 8.68 14.19 11.89 13.76
000241 12.23 17.75 4.47 8.19 12.31 16.06 10.07 14.94
000242 9.66 15.12 14.54 12.13 0.41 11.77 7.72 7.05
000243 9.05 9.29 15.98 5.11 1.64 5.42 15.99 9.46
000244 8.21 16.94 14.98 17.37 12.14 11.28 12.96 12.37
000245 16.47 13.31 16.37 14.32 13.82 19.6 10.28 0.13
000246 18.39 13.71 14.11 9.97 16.35 12.26 13.97 13.07
000247 16.27 13.92 15.23 11.91 10.3 16.54 19.76 4.8
000248 12.1 4.61 10.63 15.76 6.67 16.93 12.93 12.85
000249 11.72 8.72 8.59 17.35 1.41 3.08 11.94 9.7
000250 14.84 16.04 14.65 6.41 4.38 15.9 13.05 12.52
000251 12.72 13.19 15.81 9.11 16.43 17.13 15.11 14.67
000252 16.51 14.48 4.39 6.95 1.96 8.78 10.22 15.28
000253 10.42 11.89 1.76 12.2 8.0 12.66 8.0 8.27
000254 14.43 8.06 17.43 2.61 10.28 4.23 14.11 9.83
000255 8.4 14.54 1.5 9.91 9.1 14.0 5.64 14.66
000256 16.42 10.73 8.93 8.91 14.46 10.46 14.6 15.11
000257 16.44 13.77 9.66 9.87 9.96 8.06 15.28 17.63
000258 10.21 12.0 12.71 10.22 2.56 12.15 10.47 14.75
000259 14.48 9.31 13.37 18.9 1.09 14.32 16.84 9.54
000260 10.11 14.1 13.82 16.63 11.5 14.94 15.67 13.72
000261 11.23 4.23 8.59 11.35 5.07 9.24 17.79 9.08
000262 8.73 15.68 16.18 10.35 17.69 17.02 11.06 14.38
000263 9.7 10.85 0.97 10.2 10.38 16.8 11.51 14.12
000264 14.71 10.16 8.47 13.02 16.89 9.57 8.5 19.33
000265 17.78 17.93 9.45 14.8 17.23 9.18 14.72 15.96
000266 9.6 10.41 10.75 10.96 11.18 14.17 11.32 9.34
000267 6.54 15.82 13.6 12.56 15.86 13.65 13.55 13.08
000268 9.93 8.21 11.27 14.19 9.82 3.36 15.22 8.73
000269 18.02 15.65 9.2 17.01 16.58 13.52 12.5 16.46
000270 16.11 17.82 2.31 13.89 14.34 17.7 11.99 12.61
000271 12.98 10.04 15.88 8.17 11.49 15.23 12.15 6.97
000272 12.55 16.17 13.38 16.5 16.82 18.4 14.74 8.94
000273 11.82 12.74 13.79 14.09 10.45 8.27 9.81 5.52
000274 12.79 12.72 8.07 13.02 14.83 17.69 13.14 19.05
000275 8.06 17.88 9.63 2.22 6.56 10.75 12.9 17.24
000276 8.68 14.19 12.27 10.89 10.08 3.31 12.63 10.81
000277 17.63 10.56 8.09 6.95 9.82 10.42 12.84 17.13
000278 12.02 0.96 11.99 16.23 14.38 2.92 0.68 10.62
000279 17.39 10.61 0.76 15.41 9.76 15.98 12.0 17.57
000280 11.76 12.11 8.6 10.12 14.42 14.86 9.22 16.17
000281 9.94 9.06 14.59 15.81 14.69 10.63 6.67 19.23
000282 9.52 13.81 14.44 15.2 10.78 9.06 11.22 7.65
000283 14.26 15.21 10.71 11.03 14.54 11.02 14.94 12.76
000284 2.61 16.44 15.91 14.34 7.07 13.23 15.12 16.36
000285 16.1 16.01 12.05 10.26 12.24 18.57 10.4 4.59
000286 14.65 8.08 9.26 16.31 16.02 16.95 15.36 15.09
000287 15.76 10.81 11.11 13.15 17.35 13.55 13.39 5.32
000288 13.27 5.73 16.99 10.43 12.08 2.89 10.33 15.83
000289 12.37 12.04 11.09 11.98 11.84 10.17 15.73 13.23
000290 18.04 10.61 17.41 9.22 16.38 11.16 8.22 15.3
000291 12.64 12.76 10.86 13.4 10.8 2.61 14.4 11.66
000292 0.99 17.43 9.38 9.61 8.95 12.44 9.6 4.82
000293 13.96 16.79 8.94 13.06 9.37 16.44 15.19 8.37
000294 14.31 13.22 9.38 5.5 19.6 19.06 10.07 17.77
000295 10.45 1.51 15.91 17.13 10.17 12.9 5.79 17.62
000296 16.36 16.87 1.27 13.87 6.82 17.12 13.01 14.69
000297 13.75 16.61 15.22 12.41 15.33 14.96 2.93 12.9
000298 4.8 17.27 9.61 13.15 12.35 14.83 13.6 15.82
000299 15.81 15.68 3.56 13.45 15.0 14.97 17.78 16.56
000300 15.19 6.47 8.99 16.17 9.48 12.62 13.6 15.04
000301 1.46 9.2 8.27 8.61 10.1 14.09 5.99 10.38
000302 10.45 12.98 16.86 19.49 16.14 10.76 0.14 11.27
000303 14.61 8.25 11.42 16.18 13.67 13.48 11.99 17.68
000304 12.15 13.37 15.59 11.73 11.59 12.81 12.5 0.77
000305 14.56 15.22 11.73 16.26 8.7 10.23 6.31 13.39
000306 10.14 10.28 9.39 8.82 9.79 13.21 14.49 10.35
000307 14.5 8.28 1.85 16.52 5.72 17.99 9.05 1.16
000308 10.67 16.35 15.99 12.37 16.16 14.28 12.55 14.84
000309 12.24 9.23 8.83 0.62 15.04 8.31 14.18 8.89
000310 15.41 15.94 15.05 15.87 10.25 10.37 17.73 11.05
000311 8.67 13.79 11.09 9.08 15.73 14.32 18.42 14.98
000312 16.34 13.09 13.68 10.63 13.54 10.65 16.43 15.83
000313 19.41 15.05 17.86 14.77 11.02 17.73 10.0 11.19
000314 17.49 12.24 11.35 10.66 16.84 18.78 15.14 6.92
000315 15.8 14.05 13.92 16.35 7.01 2.51 18.1 2.15
000316 17.78 19.48 10.58 15.3 11.22 0.83 11.25 5.61
000317 13.01 14.67 16.09 14.9 9.77 13.17 18.04 15.93
000318 10.0 11.7 15.83 14.69 13.31 10.89 15.11 15.4
000319 11.15 17.37 17.41 13.0 11.63 13.98 4.72 17.12
000320 10.55 14.45 10.95 10.56 15.68 11.15 12.56 18.06
000321 15.56 17.24 15.12 2.59 9.62 15.02 0.07 11.04
000322 16.2 17.71 13.12 10.49 9.32 7.15 2.75 10.71
000323 16.91 17.41 1.43 13.09 14.81 10.33 19.64 8.61
000324 13.29 9.7 10.28 12.53 9.62 6.5 9.87 15.54
000325 7.68 14.74 16.79 15.1 8.65 15.78 17.37 0.93
000326 16.32 12.18 12.03 17.59 9.95 10.06 12.57 12.19
000327 11.29 10.57 8.87 14.71 8.24 12.77 17.76 13.92
000328 11.78 12.29 16.48 14.81 9.14 13.94 12.21 6.63
000329 8.45 15.41 11.01 2.74 18.19 12.58 14.48 2.29
000330 6.43 5.24 13.88 14.07 12.62 15.27 10.21 16.04
000331 4.2 17.12 8.42 17.16 9.89 10.42 11.73 9.07
000332 14.18 16.67 10.15 14.31 13.19 10.54 13.21 13.2
000333 12.11 14.8 19.0 15.91 15.36 15.95 13.44 17.88
000334 16.37 15.07 4.23 12.95 11.66 14.37 11.25 12.15
000335 13.62 8.05 8.31 10.76 16.49 16.23 12.73 15.18
000336 17.88 8.83 4.77 9.47 13.61 11.77 13.53 12.38
000337 17.41 12.29 10.84 10.97 17.01 16.59 9.79 12.57
000338 6.04 13.64 14.46 10.48 10.07 10.98 15.29 18.45
000339 4.8 18.74 12.68 3.59 8.46 10.83 10.2 13.85
000340 14.07 9.19 18.98 10.79 14.34 11.13 10.82 9.45
000341 14.41 12.09 13.96 14.59 10.34 8.85 17.73 5.37
000342 8.4 3.38 6.82 12.88 7.92 14.54 9.42 12.87
000343 10.48 10.24 13.44 11.66 10.79 10.75 9.8 8.08
000344 14.64 16.81 7.43 11.12 13.47 12.44 15.56 3.1
000345 15.1 11.52 9.88 9.44 16.8 13.27 17.96 11.78
000346 10.68 17.51 16.88 15.94 16.0 12.9 11.32 7.94
000347 9.43 11.74 8.75 9.3 10.67 10.04 14.97 14.74
000348 15.42 14.39 8.49 15.53 8.07 9.92 15.81 9.87
000349 19.08 11.11 6.37 17.54 17.75 17.62 11.81 12.35
000350 5.43 9.03 14.62 14.63 12.75 15.46 12.47 11.73
000351 16.86 6.82 8.42 13.36 9.54 16.77 9.48 14.0
000352 9.8 14.95 12.02 11.35 14.35 12.7 10.25 15.83
000353 8.75 15.15 16.28 19.82 19.92 18.92 10.0 13.57
000354 16.51 8.19 13.8 17.07 16.03 13.76 9.83 7.69
000355 17.84 12.02 16.36 15.21 12.91 15.91 15.27 15.69
000356 4.81 15.02 8.98 11.98 11.39 5.73 13.55 15.85
000357 4.28 19.19 13.23 11.15 16.49 13.81 15.66 11.56
000358 12.48 16.35 15.19 8.21 14.33 9.3 16.57 2.83
000359 1.76 15.9 10.78 9.64 14.83 14.11 12.89 9.21
000360 16.98 8.91 17.6 14.9 19.79 14.01 12.68 16.1
000361 13.64 1.14 9.27 8.93 11.53 4.81 11.81 15.33
000362 14.91 8.13 6.55 17.5 9.5 11.8 14.13 19.44
000363 14.58 15.79 13.93 7.84 14.83 17.28 14.14 10.57
000364 6.73 16.81 8.68 12.54 12.73 12.13 13.73 17.93
000365 2.03 17.27 17.05 13.59 12.9 17.75 14.22 14.88
000366 9.33 9.44 14.34 9.54 9.17 9.42 13.89 16.71
000367 17.76 17.88 14.3 13.0 14.82 15.05 8.21 13.67
000368 15.88 8.7 9.76 13.51 8.86 11.09 15.14 15.82
000369 15.9 8.33 11.31 11.82 8.37 8.35 3.04 10.48
000370 15.62 6.31 10.88 16.98 10.0 13.38 7.44 9.6
000371 8.74 8.29 9.87 1.05 11.97 15.25 7.0 15.83
000372 13.35 15.4 16.33 16.74 12.9 18.67 17.01 14.14
000373 12.68 12.42 14.97 8.6 10.58 16.6 0.38 17.93
000374 16.99 6.39 9.08 9.13 12.59 15.01 15.56 4.48
000375 11.46 12.99 9.07 17.13 4.07 19.87 10.74 10.9
000376 10.57 10.92 9.82 15.58 1.27 15.55 14.35 5.37
000377 11.02 17.56 17.26 13.61 14.43 9.19 9.44 17.83
000378 9.16 16.01 9.58 10.55 1.24 13.18 12.85 12.13
000379 1.73 8.37 19.05 10.8 8.55 10.8 11.66 3.74
000380 13.27 17.41 15.17 17.7 13.04 12.71 10.99 12.68
000381 1.66 8.17 15.5 9.35 17.93 14.85 17.31 9.14
000382 12.76 10.34 10.85 15.54 13.57 12.25 14.73 14.39
000383 18.8 15.32 11.48 17.45 11.27 11.67 13.5 15.85
000384 11.79 9.75 8.04 10.67 8.32 13.0 16.14 6.67
000385 9.83 11.96 12.91 15.83 8.22 14.45 17.27 17.54
000386 9.28 12.54 12.17 10.92 11.62 12.93 14.2 10.48
000387 9.83 15.11 12.89 11.5 12.96 17.22 4.21 13.15
000388 12.94 10.92 8.5 16.69 14.97 12.56 7.04 3.24
000389 13.31 16.04 13.96 9.56 16.44 14.14 10.44 17.38
000390 0.02 8.2 8.74 16.69 15.96 11.48 9.17 11.77
000391 13.16 6.38 8.08 16.4 16.06 17.87 17.21 4.64
000392 8.67 1.79 8.26 19.33 16.75 13.76 11.77 11.15
000393 14.36 17.78 9.88 10.27 8.76 9.81 8.95 15.81
000394 13.66 14.48 8.73 13.3 12.28 16.02 13.15 15.57
000395 9.34 17.95 9.56 11.13 19.45 8.53 16.48 10.51
000396 14.07 13.14 17.69 11.31 9.42 16.98 5.41 8.41
000397 13.17 9.65 2.59 11.64 15.9 12.45 8.78 10.38
000398 13.72 13.74 8.93 9.4 15.59 13.67 10.73 9.33
