Num_CIN FG Rang
003749 655.91 140
004478 655.72 141
000984 655.27 142
002660 655.13 143
004674 655.08 144
000088 654.94 145
003989 654.72 146
001714 654.71 147
003460 654.71 148
004652 654.67 149
000222 654.62 150
003169 654.52 151
004763 654.04 152
001146 653.98 153
004590 653.96 154
004942 653.79 155
000077 653.77 156
003289 653.71 157
003803 653.41 158
001166 653.04 159
004255 652.91 160
000325 652.81 161
000001 652.66 162
000779 652.55 163
003894 652.5 164
003781 652.43 165
000131 652.41 166
003771 652.19 167
003154 651.95 168
004321 651.47 169
004268 651.11 170
004384 650.98 171
000515 650.91 172
004031 650.83 173
001843 650.74 174
003357 650.71 175
002589 650.63 176
002472 650.38 177
004573 650.31 178
002950 650.14 179
004397 649.87 180
000884 649.84 181
001941 649.66 182
003636 649.15 183
002850 648.88 184
002993 648.81 185
000579 648.65 186
004829 648.6 187
001689 648.5 188
000067 648.4 189
004317 648.21 190
002889 648.04 191
003478 647.96 192
001368 647.9 193
004972 647.56 194
003730 647.21 195
001656 647.2 196
004766 647.2 197
002938 647.06 198
002477 647.02 199
001387 647.0 200
001076 646.97 201
001603 646.85 202
003629 646.78 203
004102 646.59 204
001011 646.1 205
001294 645.91 206
004759 645.91 207
003197 645.87 208
000215 645.6 209
003641 645.47 210
001736 645.06 211
003552 644.89 212
003097 644.87 213
000465 644.83 214
004805 644.79 215
002337 644.64 216
003688 644.55 217
003296 644.54 218
003174 644.53 219
002635 644.34 220
004702 644.22 221
003973 644.15 222
001047 644.02 223
004365 644.0 224
001197 643.95 225
003461 643.93 226
002163 643.8 227
004962 643.77 228
000807 643.69 229
000776 643.66 230
003549 643.58 231
001681 643.5 232
001709 643.36 233
001447 643.29 234
003672 643.23 235
003139 643.19 236
003604 642.87 237
004955 642.76 238
002587 642.74 239
000076 642.68 240
001230 642.6 241
000267 642.51 242
003442 642.46 243
001462 642.01 244
004095 642.01 245
003108 641.97 246
003788 641.93 247
001422 641.68 248
001179 641.62 249
004800 641.53 250
000572 641.52 251
000928 641.24 252
003533 641.2 253
002166 641.11 254
003995 640.99 255
003816 640.83 256
000488 640.68 257
004935 640.41 258
002099 640.4 259
000896 640.35 260
000852 640.34 261
004980 640.28 262
004266 639.96 263
001634 639.89 264
004581 639.83 265
001084 639.79 266
004546 639.67 267
002958 639.49 268
003567 639.47 269
004398 639.47 270
000060 639.4 271
003249 639.36 272
004749 639.28 273
003473 639.24 274
003736 639.18 275
003463 639.13 276
002110 639.03 277
002981 638.99 278
003981 638.96 279
003698 638.89 280
002508 638.87 281
001110 638.65 282
002969 638.59 283
002605 638.58 284
002453 638.57 285
002072 638.55 286
004662 638.29 287
004780 638.25 288
001174 638.19 289
000571 638.11 290
003530 638.06 291
000149 638.05 292
000291 638.02 293
003868 638.0 294
000013 637.78 295
001353 637.74 296
002352 637.74 297
002512 637.69 298
002393 637.68 299
001615 637.58 300
004207 637.45 301
001958 637.42 302
003689 637.41 303
000143 637.31 304
000329 637.03 305
003090 636.82 306
004631 636.76 307
003627 636.64 308
003822 636.47 309
000083 636.39 310
000383 636.21 311
004601 636.01 312
004572 635.99 313
000350 635.95 314
000578 635.91 315
002482 635.86 316
001072 635.74 317
002033 635.63 318
001415 635.57 319
000703 635.46 320
000950 635.38 321
002238 635.31 322
003954 635.27 323
003417 635.08 324
003801 635.04 325
003341 634.79 326
002824 634.78 327
001050 634.77 328
000314 634.67 329
001775 634.51 330
001119 634.38 331
001467 634.3 332
002249 634.11 333
002710 634.04 334
001169 634.0 335
003710 634.0 336
000441 633.96 337
000933 633.9 338
001509 633.86 339
004536 633.69 340
002483 633.58 341
001351 633.51 342
002979 633.41 343
001833 633.4 344
003258 633.36 345
003490 633.19 346
001554 633.17 347
001773 633.09 348
004505 633.05 349
002364 633.03 350
003084 632.9 351
001806 632.86 352
003403 632.86 353
001491 632.65 354
001933 632.57 355
004722 632.57 356
004209 632.3 357
004034 632.23 358
000877 632.21 359
002203 632.11 360
001136 631.99 361
002643 631.95 362
002005 631.89 363
003795 631.86 364
001178 631.78 365
003151 631.65 366
002499 631.52 367
004768 631.24 368
002628 630.94 369
003674 630.74 370
004907 630.67 371
001879 630.64 372
002094 630.63 373
004325 630.61 374
003709 630.46 375
003393 630.35 376
004480 630.26 377
001726 630.03 378
000774 629.91 379
000177 629.75 380
001855 629.57 381
002217 629.53 382
002154 629.44 383
001322 629.34 384
004977 629.34 385
000407 629.2 386
002363 629.17 387
000503 629.06 388
001585 629.05 389
002714 628.92 390
000750 628.7 391
001477 628.67 392
001972 628.47 393
004799 628.47 394
001909 628.44 395
001225 628.34 396
001852 628.27 397
004648 628.26 398
003157 628.2 399
001925 628.06 400
000392 627.77 401
000962 627.65 402
002262 627.63 403
000111 627.61 404
003426 627.54 405
001019 627.52 406
000431 627.48 407
002834 627.45 408
002419 627.32 409
004132 627.27 410
001063 627.24 411
001299 627.23 412
004656 627.23 413
000032 627.19 414
001983 627.13 415
004591 627.12 416
004005 627.1 417
002646 627.04 418
002810 627.03 419
000198 626.97 420
001341 626.81 421
001809 626.72 422
002362 626.65 423
001292 626.62 424
000298 626.6 425
002956 626.57 426
003006 626.46 427
003447 626.37 428
004258 626.34 429
004812 626.29 430
000594 626.1 431
004497 625.99 432
004136 625.92 433
000066 625.75 434
001157 625.73 435
001285 625.72 436
000880 625.69 437
000451 625.61 438
002765 625.58 439
001588 625.5 440
001101 625.38 441
000129 625.37 442
004896 625.33 443
000686 625.32 444
003132 625.27 445
000661 625.24 446
003181 625.2 447
004242 625.2 448
001776 625.15 449
001433 625.13 450
001015 624.99 451
001377 624.98 452
004056 624.81 453
003768 624.8 454
001654 624.75 455
000905 624.68 456
003282 624.64 457
001705 624.48 458
000381 624.44 459
000773 624.44 460
004019 624.42 461
002787 624.34 462
000255 624.33 463
003575 624.29 464
001100 624.06 465
003290 624.03 466
002336 623.99 467
004340 623.98 468
003475 623.86 469
000681 623.83 470
002474 623.43 471
001765 623.28 472
000110 623.23 473
001352 623.23 474
003003 623.07 475
000810 623.04 476
004943 622.98 477
002118 622.93 478
001724 622.54 479
000154 622.37 480
001975 622.32 481
002197 622.29 482
001139 622.22 483
002361 622.18 484
003222 622.14 485
002252 622.09 486
002452 622.09 487
002111 621.9 488
000909 621.8 489
000157 621.78 490
003348 621.69 491
002701 621.68 492
001944 621.67 493
001875 621.65 494
004645 621.58 495
003782 621.53 496
003943 621.52 497
004439 621.49 498
000963 621.46 499
004664 621.35 500
003263 621.33 501
001165 621.27 502
000159 621.25 503
003451 621.21 504
003691 621.16 505
002704 621.08 506
004004 621.06 507
002604 620.95 508
004453 620.86 509
001201 620.76 510
004510 620.67 511
004853 620.66 512
001795 620.58 513
000709 620.53 514
003861 620.4 515
001870 620.33 516
002782 620.33 517
001246 620.31 518
003763 620.3 519
001942 620.27 520
004359 620.26 521
001988 620.24 522
002138 620.12 523
004831 620.03 524
001584 619.96 525
003483 619.94 526
004605 619.9 527
000364 619.68 528
000445 619.62 529
001524 619.54 530
002090 619.54 531
000216 619.49 532
000168 619.46 533
000801 619.35 534
003059 619.35 535
001752 619.23 536
003049 619.22 537
003086 619.2 538
000421 619.17 539
002269 619.17 540
004695 619.16 541
004858 619.13 542
002780 619.07 543
004488 618.95 544
001987 618.85 545
004172 618.85 546
001158 618.84 547
002683 618.74 548
001985 618.68 549
002576 618.66 550
001518 618.61 551
001480 618.51 552
003605 618.41 553
001798 618.33 554
002293 618.26 555
001000 618.11 556
004728 618.08 557
003214 618.06 558
004620 617.97 559
002245 617.88 560
002904 617.82 561
000295 617.78 562
000473 617.65 563
002906 617.57 564
000546 617.55 565
004084 617.49 566
000399 617.39 567
001882 617.33 568
004175 617.29 569
003883 617.14 570
002517 616.99 571
004030 616.94 572
004224 616.85 573
004386 616.76 574
003826 616.55 575
000834 616.43 576
002401 616.28 577
002045 616.21 578
001054 616.15 579
001549 616.06 580
002932 616.04 581
002384 616.02 582
000189 616.0 583
003975 615.98 584
001499 615.91 585
001759 615.82 586
001557 615.8 587
000416 615.69 588
002076 615.69 589
001685 615.64 590
004160 615.63 591
000656 615.49 592
001160 615.47 593
001836 615.41 594
002009 615.2 595
003354 615.2 596
000477 615.19 597
004198 615.09 598
004663 615.09 599
001484 615.01 600
004660 614.99 601
001035 614.75 602
003526 614.66 603
001605 614.62 604
002912 614.6 605
001364 614.56 606
004636 614.55 607
004874 614.53 608
000678 614.51 609
003784 614.45 610
000597 614.42 611
001957 614.39 612
003661 614.09 613
001857 613.9 614
004131 613.9 615
002537 613.89 616
002816 613.89 617
003790 613.86 618
003025 613.82 619
003510 613.82 620
001997 613.8 621
001542 613.68 622
002131 613.66 623
002062 613.65 624
002771 613.65 625
000874 613.61 626
002459 613.54 627
001553 613.5 628
001707 613.43 629
002773 613.43 630
000072 613.32 631
001766 613.31 632
003498 613.31 633
003632 613.26 634
000026 613.24 635
004385 613.23 636
001191 613.17 637
001751 613.01 638
002702 613.01 639
003626 612.96 640
002157 612.84 641
003250 612.84 642
000061 612.83 643
002964 612.79 644
004405 612.7 645
001757 612.62 646
004390 612.47 647
004027 612.4 648
002827 612.39 649
002263 612.34 650
003252 612.19 651
003028 612.09 652
004568 612.09 653
004109 612.06 654
004513 612.02 655
001564 611.98 656
004075 611.93 657
000803 611.91 658
002526 611.91 659
003949 611.69 660
001913 611.67 661
002087 611.66 662
004856 611.66 663
004678 611.63 664
004621 611.62 665
002228 611.6 666
003212 611.6 667
001079 611.49 668
002147 611.38 669
003422 611.28 670
004239 611.09 671
002207 611.06 672
002942 611.05 673
001607 610.98 674
001782 610.87 675
000208 610.73 676
003136 610.73 677
002390 610.69 678
002347 610.6 679
002329 610.58 680
004723 610.52 681
003307 610.48 682
000121 610.4 683
004758 610.4 684
003007 610.38 685
004777 610.25 686
000917 610.24 687
001901 610.21 688
003797 610.09 689
000225 609.98 690
000747 609.98 691
002952 609.85 692
003859 609.83 693
004919 609.77 694
004293 609.76 695
000837 609.7 696
002521 609.55 697
004007 609.34 698
004369 609.33 699
002705 609.27 700
000305 609.19 701
003281 609.11 702
004905 609.1 703
003572 609.06 704
001187 609.0 705
001399 608.81 706
000723 608.69 707
003854 608.67 708
002097 608.65 709
003394 608.58 710
001788 608.54 711
004928 608.48 712
002358 608.47 713
001123 608.46 714
000333 608.44 715
001671 608.34 716
001688 608.24 717
002654 608.23 718
001994 608.2 719
001286 608.1 720
000568 608.05 721
000054 607.96 722
000236 607.91 723
000049 607.79 724
000053 607.79 725
002930 607.74 726
004732 607.71 727
003640 607.54 728
003507 607.41 729
001384 607.38 730
002391 607.35 731
000910 607.33 732
004622 607.31 733
000926 607.3 734
002073 607.23 735
004586 607.23 736
003358 607.14 737
000097 607.12 738
004717 607.1 739
000603 607.04 740
000219 607.0 741
003320 606.75 742
001080 606.65 743
003395 606.65 744
001055 606.52 745
000636 606.45 746
002108 606.45 747
001276 606.32 748
003172 606.32 749
001317 606.23 750
000763 606.21 751
000096 606.2 752
004618 606.18 753
000934 606.09 754
002266 606.09 755
000405 605.97 756
001442 605.96 757
003759 605.91 758
003343 605.87 759
001151 605.74 760
000575 605.72 761
004940 605.71 762
000587 605.7 763
004881 605.62 764
000476 605.59 765
002998 605.49 766
001670 605.43 767
001735 605.42 768
003450 605.41 769
000711 605.39 770
002046 605.27 771
003819 605.21 772
003346 604.99 773
000843 604.96 774
003437 604.95 775
002625 604.88 776
003294 604.88 777
000949 604.83 778
004616 604.78 779
002988 604.65 780
004815 604.62 781
000206 604.6 782
004038 604.59 783
003891 604.57 784
003904 604.57 785
004951 604.44 786
003959 604.43 787
002151 604.39 788
001540 604.24 789
003618 604.24 790
002198 604.23 791
001301 604.12 792
000391 604.11 793
004921 604.08 794
003029 604.07 795
000330 604.06 796
001033 604.04 797
001410 603.91 798
003075 603.86 799
000397 603.66 800
003831 603.46 801
004457 603.38 802
001537 603.36 803
003408 603.36 804
003020 603.26 805
000783 603.24 806
003767 603.23 807
001652 603.19 808
002866 603.16 809
004086 603.13 810
004370 603.05 811
000969 603.02 812
004078 602.97 813
002342 602.88 814
002222 602.85 815
004540 602.8 816
001910 602.69 817
003093 602.61 818
000332 602.54 819
001703 602.5 820
000357 602.48 821
000309 602.4 822
003602 602.35 823
000093 602.33 824
000402 602.29 825
004373 602.29 826
003159 602.26 827
001180 602.12 828
001343 602.1 829
001436 602.08 830
004181 602.05 831
004296 601.99 832
003206 601.92 833
002176 601.84 834
003477 601.79 835
003574 601.66 836
004265 601.54 837
003104 601.47 838
003448 601.38 839
001034 601.34 840
001425 601.31 841
002496 601.31 842
003056 601.22 843
000490 601.06 844
001780 601.06 845
001617 600.88 846
002872 600.88 847
002020 600.76 848
002914 600.76 849
000449 600.67 850
000296 600.64 851
004640 600.56 852
002456 600.42 853
001900 600.39 854
004036 600.35 855
004054 600.31 856
000598 600.26 857
000284 600.21 858
000203 600.18 859
002481 600.14 860
004715 600.12 861
002162 600.01 862
004875 599.99 863
000738 599.98 864
000609 599.95 865
004091 599.94 866
002278 599.9 867
001129 599.81 868
002355 599.78 869
001030 599.73 870
002368 599.72 871
000519 599.61 872
002098 599.48 873
002527 599.45 874
004476 599.44 875
004707 599.39 876
004957 599.39 877
003679 599.32 878
003573 599.29 879
004168 599.22 880
000838 599.21 881
000946 599.18 882
002389 599.17 883
004157 599.11 884
002077 599.06 885
003804 599.03 886
001569 598.94 887
002931 598.89 888
001077 598.72 889
002588 598.55 890
002371 598.46 891
002109 598.41 892
000987 598.4 893
003612 598.39 894
001311 598.36 895
000529 598.32 896
003769 598.29 897
004107 598.19 898
000512 598.17 899
001232 598.15 900
003979 598.13 901
004517 598.13 902
003935 598.06 903
004788 598.05 904
001672 598.04 905
000935 598.0 906
000382 597.92 907
000163 597.85 908
000554 597.8 909
002230 597.77 910
001058 597.74 911
001633 597.67 912
004879 597.57 913
002543 597.55 914
002766 597.53 915
003468 597.52 916
003827 597.49 917
001747 597.48 918
002857 597.48 919
004624 597.47 920
000353 597.41 921
001716 597.38 922
000844 597.36 923
003432 597.36 924
004567 597.04 925
001645 596.98 926
000468 596.93 927
002007 596.86 928
004706 596.81 929
000412 596.73 930
000881 596.7 931
003776 596.62 932
000352 596.6 933
000730 596.58 934
003481 596.53 935
004994 596.5 936
003757 596.38 937
001445 596.37 938
002927 596.35 939
003990 596.26 940
001914 596.25 941
004642 596.2 942
001996 596.16 943
004375 596.16 944
003799 596.13 945
001254 596.11 946
001528 596.07 947
004718 596.02 948
002213 595.98 949
001347 595.97 950
002004 595.94 951
002248 595.92 952
002211 595.89 953
000664 595.86 954
003792 595.77 955
000361 595.67 956
004634 595.63 957
000323 595.61 958
004193 595.54 959
002848 595.53 960
001601 595.52 961
003828 595.49 962
002420 595.48 963
004750 595.44 964
004188 595.35 965
004693 595.35 966
003707 595.33 967
001691 595.29 968
000616 595.26 969
004432 595.25 970
001260 595.14 971
001877 595.14 972
003210 595.1 973
003739 595.08 974
002463 595.01 975
004941 594.99 976
002242 594.98 977
002265 594.87 978
001474 594.84 979
002356 594.72 980
004897 594.64 981
002055 594.57 982
004784 594.43 983
000095 594.31 984
001245 594.27 985
004212 594.27 986
001706 594.22 987
000841 594.2 988
003740 594.17 989
000669 594.11 990
003301 594.09 991
003712 594.09 992
000875 594.08 993
000972 593.98 994
001188 593.93 995
002747 593.82 996
003853 593.81 997
003248 593.76 998
003302 593.73 999
003662 593.72 1000
000082 593.71 1001
001989 593.71 1002
004366 593.7 1003
000030 593.65 1004
001592 593.62 1005
000861 593.6 1006
004687 593.53 1007
003926 593.51 1008
001162 593.48 1009
000293 593.44 1010
001062 593.33 1011
003783 593.3 1012
002833 593.18 1013
000520 593.13 1014
004166 593.11 1015
003881 593.04 1016
003285 592.96 1017
003738 592.96 1018
000484 592.94 1019
004979 592.92 1020
001383 592.85 1021
003787 592.81 1022
004223 592.8 1023
004351 592.73 1024
001614 592.71 1025
000522 592.68 1026
002772 592.64 1027
001657 592.61 1028
000475 592.55 1029
004433 592.55 1030
001032 592.54 1031
000839 592.5 1032
002286 592.48 1033
003355 592.39 1034
003039 592.33 1035
001358 592.24 1036
004891 592.18 1037
003915 592.17 1038
002552 592.15 1039
002116 592.12 1040
000823 592.06 1041
003601 591.96 1042
001911 591.95 1043
004134 591.93 1044
000482 591.82 1045
001418 591.82 1046
004585 591.81 1047
000359 591.66 1048
003692 591.65 1049
002299 591.64 1050
001452 591.59 1051
000971 591.4 1052
002315 591.33 1053
004886 591.33 1054
003304 591.3 1055
004735 591.29 1056
001630 591.25 1057
000653 591.23 1058
002226 591.23 1059
000150 591.2 1060
004152 591.18 1061
001928 591.15 1062
001182 591.07 1063
003798 591.06 1064
004545 590.85 1065
001507 590.8 1066
001533 590.76 1067
004577 590.72 1068
003760 590.7 1069
000092 590.63 1070
002057 590.49 1071
000214 590.44 1072
004733 590.42 1073
002669 590.4 1074
003144 590.35 1075
002346 590.31 1076
003119 590.31 1077
000138 590.3 1078
002987 590.23 1079
001137 590.17 1080
001360 590.16 1081
003933 590.01 1082
003898 590.0 1083
004561 590.0 1084
000334 589.99 1085
003196 589.96 1086
002187 589.84 1087
002730 589.79 1088
000418 589.42 1089
003508 589.41 1090
003962 589.39 1091
001266 589.35 1092
004088 589.35 1093
002764 589.33 1094
004314 589.32 1095
000525 589.31 1096
001315 589.31 1097
000370 589.29 1098
000414 589.28 1099
004352 589.27 1100
004607 589.23 1101
002397 589.08 1102
004880 589.08 1103
004773 589.06 1104
001333 589.02 1105
002737 588.99 1106
002558 588.97 1107
001031 588.88 1108
001485 588.88 1109
003586 588.88 1110
004969 588.88 1111
004669 588.77 1112
003857 588.74 1113
003996 588.66 1114
000748 588.59 1115
002522 588.55 1116
001620 588.53 1117
000173 588.4 1118
002547 588.4 1119
000202 588.39 1120
000923 588.23 1121
004496 588.14 1122
003521 588.12 1123
002561 588.11 1124
000547 588.1 1125
000419 588.02 1126
003486 588.0 1127
001193 587.97 1128
001081 587.96 1129
000918 587.92 1130
002736 587.89 1131
002152 587.87 1132
002233 587.83 1133
004627 587.83 1134
003295 587.68 1135
004074 587.61 1136
002618 587.5 1137
003161 587.49 1138
000913 587.44 1139
000496 587.43 1140
002251 587.43 1141
003260 587.43 1142
003532 587.43 1143
003106 587.36 1144
002774 587.34 1145
000050 587.27 1146
001053 587.27 1147
002309 587.25 1148
002338 587.24 1149
003644 587.23 1150
001085 587.19 1151
003195 587.18 1152
001459 587.16 1153
004893 587.15 1154
001381 587.09 1155
001379 587.08 1156
000720 586.96 1157
003961 586.95 1158
003976 586.8 1159
004437 586.75 1160
004582 586.75 1161
002058 586.57 1162
003035 586.56 1163
001977 586.52 1164
004094 586.45 1165
003619 586.42 1166
002282 586.39 1167
002043 586.37 1168
003362 586.29 1169
000715 586.25 1170
003970 586.16 1171
002186 586.14 1172
000017 586.12 1173
003220 586.1 1174
000675 586.05 1175
001861 586.05 1176
002102 586.04 1177
004490 586.0 1178
000777 585.99 1179
004467 585.98 1180
002580 585.97 1181
003942 585.97 1182
000266 585.9 1183
001565 585.88 1184
003506 585.71 1185
002949 585.64 1186
003876 585.6 1187
000153 585.54 1188
004836 585.49 1189
001676 585.36 1190
001021 585.34 1191
000957 585.31 1192
003454 585.31 1193
001733 585.29 1194
004542 585.28 1195
002879 585.26 1196
004201 585.23 1197
000085 585.22 1198
004782 585.18 1199
003860 585.16 1200
001200 585.11 1201
000509 585.1 1202
002253 585.04 1203
000178 585.0 1204
002862 584.98 1205
002523 584.97 1206
003850 584.85 1207
001699 584.77 1208
003588 584.68 1209
004450 584.68 1210
004511 584.68 1211
000619 584.6 1212
002089 584.59 1213
003652 584.57 1214
004230 584.52 1215
002240 584.48 1216
001834 584.38 1217
000758 584.37 1218
004310 584.31 1219
002839 584.26 1220
002703 584.16 1221
002910 584.13 1222
001787 584.12 1223
002301 583.96 1224
002684 583.94 1225
001932 583.92 1226
004354 583.92 1227
003634 583.9 1228
000356 583.71 1229
003687 583.69 1230
001648 583.67 1231
003356 583.6 1232
002662 583.52 1233
004275 583.51 1234
005000 583.51 1235
000866 583.45 1236
003311 583.45 1237
001132 583.41 1238
002700 583.41 1239
001323 583.28 1240
002331 583.27 1241
004470 583.21 1242
000931 583.19 1243
004844 583.15 1244
000386 583.02 1245
000251 582.99 1246
004256 582.95 1247
000462 582.85 1248
002275 582.84 1249
004391 582.77 1250
002883 582.72 1251
003647 582.47 1252
004787 582.4 1253
001069 582.36 1254
004185 582.33 1255
001974 582.32 1256
003368 582.3 1257
000901 582.23 1258
003155 582.23 1259
003655 582.21 1260
004231 582.12 1261
004087 582.1 1262
002190 582.04 1263
002880 581.77 1264
002246 581.61 1265
002065 581.6 1266
003117 581.6 1267
004233 581.56 1268
001075 581.52 1269
002295 581.46 1270
004124 581.46 1271
003614 581.45 1272
001222 581.41 1273
000031 581.39 1274
001611 581.25 1275
000023 581.15 1276
004012 581.1 1277
003065 581.03 1278
003441 581.03 1279
002227 581.01 1280
004442 581.0 1281
001510 580.94 1282
004164 580.91 1283
000456 580.81 1284
004725 580.78 1285
000694 580.64 1286
004475 580.64 1287
003643 580.63 1288
001267 580.6 1289
004240 580.6 1290
004869 580.6 1291
003278 580.58 1292
004184 580.58 1293
001868 580.5 1294
004834 580.5 1295
004416 580.38 1296
004986 580.29 1297
001929 580.28 1298
000677 580.26 1299
002146 580.18 1300
004069 580.17 1301
000115 580.12 1302
004602 580.01 1303
001959 579.96 1304
003944 579.96 1305
003453 579.93 1306
001572 579.92 1307
002935 579.88 1308
000404 579.77 1309
004213 579.74 1310
000363 579.7 1311
000601 579.68 1312
000651 579.66 1313
000275 579.65 1314
003109 579.59 1315
003791 579.59 1316
000395 579.54 1317
002571 579.41 1318
000742 579.4 1319
001104 579.4 1320
001661 579.3 1321
000851 579.25 1322
001760 579.25 1323
000470 579.24 1324
001847 579.16 1325
001887 579.11 1326
001330 579.09 1327
003419 579.08 1328
002491 578.92 1329
004852 578.87 1330
002024 578.82 1331
004326 578.71 1332
001397 578.66 1333
001961 578.66 1334
001813 578.65 1335
004599 578.65 1336
003370 578.63 1337
002495 578.62 1338
000517 578.53 1339
004194 578.53 1340
004443 578.51 1341
004121 578.5 1342
004519 578.48 1343
004566 578.44 1344
004734 578.44 1345
003173 578.39 1346
001328 578.26 1347
001804 578.24 1348
004724 578.2 1349
001591 578.03 1350
003999 578.03 1351
003018 578.01 1352
002215 577.95 1353
004374 577.95 1354
000426 577.92 1355
004615 577.92 1356
002992 577.85 1357
001439 577.81 1358
002555 577.81 1359
004747 577.76 1360
003960 577.72 1361
001098 577.7 1362
001543 577.66 1363
000500 577.58 1364
004246 577.56 1365
001392 577.53 1366
004363 577.53 1367
003292 577.51 1368
004953 577.5 1369
003201 577.44 1370
003231 577.35 1371
003992 577.35 1372
000283 577.32 1373
003080 577.27 1374
000699 577.25 1375
002334 577.15 1376
002903 577.12 1377
001902 577.11 1378
002779 577.09 1379
003869 577.06 1380
004975 576.97 1381
002409 576.94 1382
004047 576.84 1383
004900 576.78 1384
001740 576.77 1385
004882 576.75 1386
003721 576.69 1387
002258 576.68 1388
001099 576.65 1389
002575 576.65 1390
002832 576.63 1391
001976 576.57 1392
000854 576.44 1393
001789 576.39 1394
004867 576.27 1395
003382 576.23 1396
003439 576.2 1397
001213 576.17 1398
004520 576.16 1399
003158 576.14 1400
004462 576.11 1401
004807 576.1 1402
003103 576.09 1403
002757 576.06 1404
001172 576.05 1405
002410 575.89 1406
000832 575.78 1407
001721 575.77 1408
004701 575.7 1409
003240 575.66 1410
001625 575.65 1411
002053 575.64 1412
001675 575.6 1413
000328 575.53 1414
002085 575.53 1415
001986 575.49 1416
002673 575.45 1417
001375 575.44 1418
002271 575.37 1419
001545 575.36 1420
004042 575.36 1421
004933 575.31 1422
001593 575.29 1423
000417 575.28 1424
000388 575.27 1425
002519 575.27 1426
003234 575.24 1427
004410 575.24 1428
004387 575.16 1429
004651 575.08 1430
003503 575.01 1431
003194 574.97 1432
003171 574.95 1433
002113 574.89 1434
002291 574.87 1435
002807 574.86 1436
004150 574.8 1437
000514 574.76 1438
003349 574.72 1439
001161 574.7 1440
000505 574.66 1441
000234 574.65 1442
000387 574.65 1443
000990 574.65 1444
004726 574.62 1445
004093 574.56 1446
004097 574.56 1447
003193 574.55 1448
002637 574.53 1449
001580 574.48 1450
002287 574.43 1451
000850 574.41 1452
004191 574.41 1453
002640 574.4 1454
000886 574.39 1455
003499 574.39 1456
000749 574.26 1457
002748 574.26 1458
003589 574.25 1459
002624 574.21 1460
001140 574.13 1461
004098 574.07 1462
001609 574.05 1463
002686 574.04 1464
002490 573.99 1465
000612 573.89 1466
003351 573.87 1467
000321 573.76 1468
004692 573.76 1469
004064 573.75 1470
001103 573.69 1471
004154 573.62 1472
003855 573.6 1473
001880 573.55 1474
002328 573.55 1475
002016 573.54 1476
000560 573.5 1477
001407 573.5 1478
003254 573.49 1479
000550 573.48 1480
003565 573.43 1481
001937 573.38 1482
000046 573.37 1483
003765 573.34 1484
002800 573.31 1485
003900 573.3 1486
004477 573.22 1487
002541 573.2 1488
000174 573.06 1489
002566 573.06 1490
002549 573.02 1491
004199 572.99 1492
003896 572.96 1493
000036 572.94 1494
003538 572.84 1495
003021 572.81 1496
000241 572.75 1497
